Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Terrain (16x16)_17
Terrain (16x16)_19,Terrain (16x16)_5,Terrain (16x16)_6,Terrain (16x16)_7,Terrain (16x16)_5,Terrain (16x16)_6,Terrain (16x16)_7,Terrain (16x16)_5,Terrain (16x16)_6,Terrain (16x16)_7,Terrain (16x16)_5,Terrain (16x16)_6,Terrain (16x16)_7,Terrain (16x16)_5,Terrain (16x16)_6,Terrain (16x16)_7,Terrain (16x16)_5,Terrain (16x16)_6,Terrain (16x16)_7,Terrain (16x16)_5,Terrain (16x16)_6,Terrain (16x16)_7,Terrain (16x16)_5,Terrain (16x16)_6,Terrain (16x16)_7,Terrain (16x16)_17
Terrain (16x16)_19,Terrain (16x16)_22,Terrain (16x16)_23,Terrain (16x16)_24,Terrain (16x16)_22,Terrain (16x16)_23,Terrain (16x16)_24,Terrain (16x16)_22,Terrain (16x16)_23,Terrain (16x16)_24,Terrain (16x16)_22,Terrain (16x16)_23,Terrain (16x16)_24,Terrain (16x16)_22,Terrain (16x16)_23,Terrain (16x16)_24,Terrain (16x16)_22,Terrain (16x16)_23,Terrain (16x16)_24,Terrain (16x16)_22,Terrain (16x16)_23,Terrain (16x16)_24,Terrain (16x16)_22,Terrain (16x16)_23,Terrain (16x16)_24,Terrain (16x16)_17
Terrain (16x16)_19,Terrain (16x16)_37,Terrain (16x16)_38,Terrain (16x16)_39,Terrain (16x16)_37,Terrain (16x16)_38,Terrain (16x16)_39,Terrain (16x16)_37,Terrain (16x16)_38,Terrain (16x16)_39,Terrain (16x16)_37,Terrain (16x16)_38,Terrain (16x16)_39,Terrain (16x16)_37,Terrain (16x16)_38,Terrain (16x16)_39,Terrain (16x16)_37,Terrain (16x16)_38,Terrain (16x16)_39,Terrain (16x16)_37,Terrain (16x16)_38,Terrain (16x16)_39,Terrain (16x16)_37,Terrain (16x16)_38,Terrain (16x16)_39,Terrain (16x16)_17
Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty